"Kenmerken personen";"Marges";"Perioden";"Internet gebruik/wanneer internet het laatst gebruikt/Minder dan 3 maanden geleden (% van personen 12 jaar of ouder)";"Internet gebruik/wanneer internet het laatst gebruikt/3 tot 12 maanden geleden (% van personen 12 jaar of ouder)";"Internet gebruik/wanneer internet het laatst gebruikt/Meer dan 12 maanden geleden (% van personen 12 jaar of ouder)";"Internet gebruik/wanneer internet het laatst gebruikt/Nooit internet gebruikt (% van personen 12 jaar of ouder)";"Internet gebruik/Frequentie gebruik afgelopen 3 maanden/(Bijna) elke dag (% van personen 12 jaar of ouder)";"Internet gebruik/Frequentie gebruik afgelopen 3 maanden/Minstens een keer per week (% van personen 12 jaar of ouder)";"Internet gebruik/Frequentie gebruik afgelopen 3 maanden/Minder dan een keer per week (% van personen 12 jaar of ouder)";"Internet gebruik/Plaats gebruik afgelopen 3 maanden/Thuis (% van personen 12 jaar of ouder)";"Internet gebruik/Plaats gebruik afgelopen 3 maanden/Bij iemand anders thuis (% van personen 12 jaar of ouder)";"Internet gebruik/Plaats gebruik afgelopen 3 maanden/Op het werk (% van personen 12 jaar of ouder)";"Internet gebruik/Plaats gebruik afgelopen 3 maanden/Bij een onderwijsinstelling (% van personen 12 jaar of ouder)";"Internet gebruik/Plaats gebruik afgelopen 3 maanden/Ergens anders (% van personen 12 jaar of ouder)";"Internet gebruik/Mobiel gebruik afgelopen 3 maanden/Totaal (% van personen 12 jaar of ouder)";"Internet gebruik/Mobiel gebruik afgelopen 3 maanden/Mobiele telefoon of smart phone (% van personen 12 jaar of ouder)";"Internet gebruik/Mobiel gebruik afgelopen 3 maanden/Laptop (% van personen 12 jaar of ouder)";"Internet gebruik/Mobiel gebruik afgelopen 3 maanden/Tablet (% van personen 12 jaar of ouder)";"Internet gebruik/Mobiel gebruik afgelopen 3 maanden/Andere mobiele apparatuur (% van personen 12 jaar of ouder)";"Internet activiteiten/Communicatie/Versturen/ontvangen e-mails (% van personen 12 jaar of ouder)";"Internet activiteiten/Informatie en vermaak/Gebruik van diensten in de reisbranche (% van personen 12 jaar of ouder)";"Internet activiteiten/Informatie en vermaak/Zoeken van baan of solliciteren (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Onderwijs/Volgen van online cursus (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Overheids- en publieke instanties/Gebruik websites overheid/Zoeken op websites (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Overheids- en publieke instanties/Gebruik websites overheid/Officiële documenten downloaden (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Overheids- en publieke instanties/Gebruik websites overheid/Ingevulde documenten versturen (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Overheids- en publieke instanties/Gebruik websites publieke instanties/Zoeken op websites (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Overheids- en publieke instanties/Gebruik websites publieke instanties/Officiële documenten downloaden (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Overheids- en publieke instanties/Gebruik websites publieke instanties/Ingevulde documenten versturen (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Gebruik internet als opslagmedium/Cloud computing (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Gebruik internet als opslagmedium/Soort van opgeslagen bestanden/Tekst, spreadsheets, presentaties (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Gebruik internet als opslagmedium/Soort van opgeslagen bestanden/Foto's (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Gebruik internet als opslagmedium/Soort van opgeslagen bestanden/E-Books of e-magazins (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Gebruik internet als opslagmedium/Soort van opgeslagen bestanden/Muziek (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Gebruik internet als opslagmedium/Soort van opgeslagen bestanden/Video's, film of tv programma's (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Gebruik internet als opslagmedium/Soort van opgeslagen bestanden/Andere bestanden (% van personen 12 jaar of ouder)";"Internet activiteiten/Dienstverlening/Gebruik internet als opslagmedium/Betaling voor opslaan van bestanden (% van personen 12 jaar of ouder)"
"Totaal personen";"Waarde";"2012";88,3;0,6;0,9;10;76,2;10,2;1,5;87,4;25,4;44;18,3;15,9;51,4;40,3;29,2;16,1;;83,5;45,7;17,3;4,7;55,1;43;44,1;;;;;;;;;;;
"Totaal personen";"Waarde";"2013";89,7;0,6;0,8;9;78,2;9,8;1,3;88,7;30,6;46,7;18,7;21,3;60,7;53,6;24,3;19,9;1,6;85,1;44,7;18,2;5,8;59,8;43,1;44,4;49,4;21,7;25,3;;;;;;;;
"Totaal personen";"Waarde";"2014";89;0,9;1,1;9;79,3;7,8;1,8;88,5;43,3;48,2;20,6;40,4;65,9;60,4;23,7;23,3;4,9;84,8;45,6;23,1;7,2;60;43;44,6;54,9;29,2;32,9;31,1;20,8;29,2;4,6;12,3;9,4;7;3,4
"Totaal personen";"Waarde";"2015";89,3;1,1;1,5;8;81;6,7;1,6;88,5;45,1;49,3;21,2;40,4;71,1;66,6;24,8;25,2;5,1;85;44,5;21,2;7,1;57,7;37,9;40,9;47,8;23;27,3;33,5;19,3;29,3;4,5;10,5;9;10,3;3,8
"Totaal personen";"Waarde";"2016";89,6;0,8;1,4;8,2;82,1;6,1;1,4;88,9;52,7;52,4;23,7;50,2;73,2;70,5;22;21,9;4,5;84,9;45,4;21;8,3;59,1;38,6;43,4;47;23;26,3;39,8;23,5;34,8;5,6;11,1;9,3;12,9;5,7
"Totaal personen";"Waarde";"2017";92,6;0,8;1;5,6;86,1;5,4;1,1;91,9;54;55,7;23,8;54;82,4;79,2;38,7;35,8;13,1;88,5;50,7;22,3;9,3;62,2;42,2;44,6;49;26,3;29,1;45,8;27,1;41;6,5;13,9;11,5;15,6;7,9
"Totaal personen";"Waarde";"2018";91,8;0,7;1,5;6;86,4;4,2;1,2;;;;;;81,7;79,4;32,5;26,7;9,1;87,7;;22,2;;64,5;44,9;47,3;53,9;30,6;32,3;44,9;27,2;39,7;6,4;13,3;12,4;14,6;10,3
"Totaal personen";"Waarde";"2019";92,9;0,6;1,4;5,1;87,6;4,3;1;;;;;;84,4;82,5;35;27,5;10,9;88,6;;22,5;12,1;64,4;43,7;47;49,8;26,9;29,5;48,8;;;;;;;13,5
